X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
-81.5319655,39.3141247820001,2590,Vienna,city,WV,54,5483500, ,6,10886,10749,10310,119,21,155,3,83,29,112,5053,5696,528,588,638,671,620,1230,1242,1566,1555,1130,707,274,43.9,41.4,46,4707,2.24,609,1032,830,1547,120,285,3054,2.77,5091,384,3517,1190
-80.588234083,40.4178676610001,2591,Weirton,city,WV,54,5485156, ,6,19334,19746,18500,770,20,100,7,197,33,316,9345,10401,1079,1066,1059,1011,848,2176,2371,3102,2972,1814,1579,669,45.9,44,47.4,8839,2.22,1412,1888,1300,2663,199,661,5507,2.78,9645,806,5964,2875
-80.6954405709999,40.075390752,2592,Wheeling,city,WV,54,5486452, ,6,28157,28486,25966,1463,46,266,4,248,71,670,13368,15118,1466,1369,1487,1796,1838,3195,3022,4223,4218,2595,2167,1110,45.2,42.2,47.4,12816,2.11,2424,3414,1634,3181,264,975,6949,2.84,14661,1845,7784,5032
-88.0261099259999,44.4713336,2593,Allouez,village,WI,55,5501150, ,6,14178,13975,12534,703,137,249,7,383,133,212,7308,6667,787,789,756,827,808,1978,1718,2126,1856,1133,819,378,41,37.7,45.2,5432,2.35,716,1117,1149,1829,114,257,3580,2.88,5707,275,4463,969
-88.4193714099999,44.262238526,2594,Appleton,city,WI,55,5502375, ,7,76309,72623,63553,1216,489,4279,25,3643,1622,1439,35959,36664,4996,5062,4941,5349,5064,10578,9459,11042,7903,4050,2815,1364,35.4,34.1,36.9,28874,2.43,4904,5591,6445,7609,829,2138,18271,3.04,30348,1474,19438,9436
-88.089536794,44.4795091170001,2595,Ashwaubenon,village,WI,55,5503425, ,6,17708,16963,15366,204,363,534,4,471,159,333,8258,8705,852,921,1097,1135,1156,2327,2052,2743,2201,1298,765,416,40.1,38.3,41.8,7421,2.25,1345,1486,1312,2211,193,507,4550,2.83,7797,376,4459,2962
-89.7437389999999,43.4687466510001,2596,Baraboo,city,WI,55,5504625, ,6,12447,12048,11323,162,119,65,8,446,177,194,5916,6132,792,805,796,703,740,1753,1557,1681,1340,807,623,451,37.8,35.7,40.2,5161,2.26,926,1198,883,1239,197,459,3016,2.89,5619,458,3039,2122
-88.831222795,43.4686157610001,2597,Beaver Dam,city,WI,55,5505900, ,6,16855,16214,15074,133,51,160,1,1210,544,251,7853,8361,1123,1208,1061,1072,859,2285,1959,2290,1747,1135,923,552,37.6,35.2,40.1,6819,2.32,1179,1495,1237,1704,233,586,4113,2.95,7326,507,3916,2903
-87.955020259,44.4591964690001,2598,Bellevue,village,WI,55,5506350, ,6,15418,14570,12748,149,126,565,1,1359,709,272,7096,7474,1125,1041,996,905,915,2065,1943,2277,1717,847,507,232,36.2,35.7,36.7,5876,2.48,882,1093,1432,1709,142,387,3883,3.04,6314,438,3909,1967
-89.0468877499999,42.510835629,2599,Beloit,city,WI,55,5506500, ,6,36561,36966,25485,5572,158,415,10,6332,3705,1621,17700,19266,2863,2828,2688,3114,2984,4925,4601,4778,3764,2155,1500,766,33.1,32,34.2,13781,2.57,2114,2732,2475,2985,580,1902,8867,3.16,15177,1396,8150,5631
-88.12300563,43.0639858800001,2600,Brookfield,city,WI,55,5510025, ,6,38804,37920,34114,460,64,2538,16,853,188,540,18390,19530,1707,2344,2892,2709,1259,2714,4252,6901,5604,3515,2849,1174,46.6,45.6,47.6,14576,2.57,1326,2236,3978,5853,189,407,10999,3.01,15317,741,12706,1870
-87.975001312,43.174314656,2601,Brown Deer,village,WI,55,5510375, ,6,12323,11999,7430,3431,42,584,7,471,129,376,5760,6239,656,644,719,733,650,1539,1570,1891,1605,1007,730,255,41.7,39.6,43.6,5275,2.27,860,1204,951,1448,100,362,3199,2.91,5579,304,3661,1614
-88.28617925,42.6739209190001,2602,Burlington,city,WI,55,5511200, ,6,10710,10464,9707,90,38,118,0,898,353,158,4993,5471,675,717,746,745,601,1326,1345,1582,1160,697,573,297,38.5,36.1,40.5,4240,2.43,604,916,873,1137,148,351,2702,3.03,4529,289,2415,1825
-87.90946,42.799553115,2603,Caledonia,village,WI,55,5511950, ,6,25515,24705,22656,688,91,456,4,1303,367,443,12285,12420,1416,1465,1665,1570,1078,2428,3305,4545,3668,1951,1094,520,43.4,42.7,44.1,9629,2.55,1183,1233,2331,3792,235,398,7187,2.94,10056,427,8013,1616
-87.9898214469999,43.3004087200001,2604,Cedarburg,city,WI,55,5513375, ,6,11521,11412,10989,87,13,170,3,197,35,115,5407,6005,622,797,868,723,546,1086,1424,1982,1441,796,711,416,42.8,40.9,44.5,4691,2.38,630,991,1145,1394,63,238,3060,3,4916,225,3139,1552
-91.389768782,44.9357237720001,2605,Chippewa Falls,city,WI,55,5514575, ,6,13958,13661,12986,228,96,127,4,221,28,192,6927,6734,970,867,796,814,931,2003,1684,1841,1520,924,813,498,37.8,35.5,40.5,5896,2.18,1118,1466,928,1292,203,549,3275,2.86,6304,408,3287,2609
-87.86388505,42.946735447,2606,Cudahy,city,WI,55,5517975, ,6,18101,18267,16219,486,161,253,6,1769,655,487,8969,9298,1211,1069,1005,1011,1067,2562,2297,2904,2276,1407,1032,426,40.3,38.7,41.9,8059,2.26,1567,1796,1291,1990,252,606,4666,2.94,8662,603,4826,3233
-88.072756014,44.4468511040001,2607,De Pere,city,WI,55,5519775, ,6,24819,23800,22366,212,281,350,6,511,159,426,11401,12399,1517,1570,1616,2032,2279,3270,3035,3356,2350,1268,958,549,33.8,32.6,34.9,9254,2.39,1397,1953,2087,2486,279,674,5869,2.97,9742,488,5943,3311
